metric,parameter,mu,mu_star,sigma,mu_star_conf
attitude_tracking_error,gamma_x_tran_L11,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L21,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L22,-0.075,0.075,0.3354101966249685,0.16251162848323228
attitude_tracking_error,gamma_x_tran_L31,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L32,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L33,-0.075,0.075,0.3354101966249686,0.14240426190448793
attitude_tracking_error,gamma_x_tran_L41,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L42,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L43,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L44,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L51,0.075,0.075,0.3354101966249688,0.13110433088021536
attitude_tracking_error,gamma_x_tran_L52,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L53,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L54,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L55,-0.075,0.075,0.3354101966249688,0.1490908368433581
attitude_tracking_error,gamma_x_tran_L61,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L62,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L63,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L64,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L65,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_tran_L66,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_tran_L11,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_tran_L21,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_tran_L22,-0.075,0.075,0.3354101966249686,0.15774085219822828
attitude_tracking_error,gamma_r_tran_L31,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_tran_L32,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_tran_L33,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L11,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L21,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L22,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L31,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L32,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L33,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L41,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L42,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L43,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L44,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L51,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L52,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L53,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L54,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L55,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L61,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L62,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L63,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L64,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L65,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_tran_L66,0.075,0.075,0.3354101966249688,0.14693046669390777
attitude_tracking_error,gamma_x_rot_L11,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_rot_L21,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_rot_L22,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_rot_L31,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_rot_L32,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_x_rot_L33,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_rot_L11,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_rot_L21,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_rot_L22,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_rot_L31,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_rot_L32,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_r_rot_L33,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L11,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L21,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L22,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L31,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L32,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L33,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L41,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L42,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L43,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L44,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L51,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L52,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L53,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L54,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L55,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L61,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L62,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L63,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L64,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L65,0.0,0.0,0.0,0.0
attitude_tracking_error,gamma_theta_rot_L66,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L11,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L21,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L22,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L31,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L32,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L33,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L41,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L42,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L43,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L44,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L51,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L52,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L53,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L54,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L55,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L61,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L62,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L63,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L64,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L65,0.0,0.0,0.0,0.0
attitude_tracking_error,q_tran_L66,-0.075,0.075,0.3354101966249688,0.13540397069726426
attitude_tracking_error,q_rot_L11,0.0,0.0,0.0,0.0
attitude_tracking_error,q_rot_L21,0.0,0.0,0.0,0.0
attitude_tracking_error,q_rot_L22,0.0,0.0,0.0,0.0
attitude_tracking_error,q_rot_L31,0.0,0.0,0.0,0.0
attitude_tracking_error,q_rot_L32,0.0,0.0,0.0,0.0
attitude_tracking_error,q_rot_L33,0.0,0.0,0.0,0.0
attitude_tracking_error,K_P_omega_ref_1,0.0,0.0,0.0,0.0
attitude_tracking_error,K_P_omega_ref_2,0.0,0.0,0.0,0.0
attitude_tracking_error,K_P_omega_ref_3,0.0,0.0,0.0,0.0
attitude_tracking_error,K_I_omega_ref_1,0.0,0.0,0.0,0.0
attitude_tracking_error,K_I_omega_ref_2,0.0,0.0,0.0,0.0
attitude_tracking_error,K_I_omega_ref_3,0.0,0.0,0.0,0.0
attitude_tracking_error,sigma_x_tran,0.0,0.0,0.0,0.0
attitude_tracking_error,sigma_r_tran,0.0,0.0,0.0,0.0
attitude_tracking_error,sigma_Theta_tran,0.0,0.0,0.0,0.0
attitude_tracking_error,sigma_x_rot,0.0,0.0,0.0,0.0
attitude_tracking_error,sigma_r_rot,0.0,0.0,0.0,0.0
attitude_tracking_error,sigma_Theta_rot,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L11,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L21,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L22,-0.075,0.075,0.3354101966249685,0.15774085219822828
angular_velocity_tracking_error,gamma_x_tran_L31,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L32,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L33,-0.075,0.075,0.3354101966249686,0.15224167990580073
angular_velocity_tracking_error,gamma_x_tran_L41,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L42,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L43,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L44,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L51,0.075,0.075,0.3354101966249688,0.13044507065439154
angular_velocity_tracking_error,gamma_x_tran_L52,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L53,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L54,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L55,-0.075,0.075,0.3354101966249688,0.12827695102521564
angular_velocity_tracking_error,gamma_x_tran_L61,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L62,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L63,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L64,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L65,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_x_tran_L66,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_r_tran_L11,0.0,0.0,0.0,0.0
angular_velocity_tracking_error,gamma_r_tran_L21,0.0,0.0,0.0,0.0
